Statistic,Value
Mean anomaly,-7.552919050230999e-05
Maximum anomaly,0.5657729506492615
Minimum anomaly,-0.4048545956611633
Trend,0.012653475362875203
R-squared,0.7897622386888742
P-value,1.807472185339112e-15
