date, - values
1982-01-15,-0.15363691747188568
1982-02-15,-0.20779237151145935
1982-03-15,-0.2280941605567932
1982-04-15,-0.19929708540439606
1982-05-15,-0.23826953768730164
1982-06-15,-0.24214716255664825
1982-07-15,-0.33554431796073914
1982-08-15,-0.40485459566116333
1982-09-15,-0.4008277654647827
1982-10-15,-0.20735831558704376
1982-11-15,0.020694676786661148
1982-12-15,-0.3243732750415802
1983-01-15,-0.1714673936367035
1983-02-15,-0.14466185867786407
1983-03-15,-0.007812382187694311
1983-04-15,0.01546863280236721
1983-05-15,-0.09429648518562317
1983-06-15,-0.021980339661240578
1983-07-15,-0.006893228739500046
1983-08-15,-0.2152407169342041
1983-09-15,-0.16864170134067535
1983-10-15,-0.2993272840976715
1983-11-15,-0.2735517919063568
1983-12-15,-0.27371641993522644
1984-01-15,-0.2812424898147583
1984-02-15,-0.2461353838443756
1984-03-15,-0.22007115185260773
1984-04-15,-0.17860721051692963
1984-05-15,-0.27732613682746887
1984-06-15,-0.2988009750843048
1984-07-15,-0.2526930868625641
1984-08-15,-0.2418491542339325
1984-09-15,-0.2444029152393341
1984-10-15,-0.3564377725124359
1984-11-15,-0.31688839197158813
1984-12-15,-0.25864046812057495
1985-01-15,-0.24109938740730286
1985-02-15,-0.23262248933315277
1985-03-15,-0.24900561571121216
1985-04-15,-0.31011882424354553
1985-05-15,-0.3238864243030548
1985-06-15,-0.2973342537879944
1985-07-15,-0.25451627373695374
1985-08-15,-0.3520814776420593
1985-09-15,-0.29595911502838135
1985-10-15,-0.2641764283180237
1985-11-15,-0.2633154094219208
1985-12-15,-0.24715308845043182
1986-01-15,-0.2450166940689087
1986-02-15,-0.23941278457641602
1986-03-15,-0.23178896307945251
1986-04-15,-0.2143024355173111
1986-05-15,-0.2213681936264038
1986-06-15,-0.23842641711235046
1986-07-15,-0.27937474846839905
1986-08-15,-0.24467183649539948
1986-09-15,-0.19708630442619324
1986-10-15,-0.1395232081413269
1986-11-15,-0.16808681190013885
1986-12-15,-0.1769496649503708
1987-01-15,-0.1870644986629486
1987-02-15,-0.1965498924255371
1987-03-15,-0.15521791577339172
1987-04-15,-0.1268719881772995
1987-05-15,-0.1123257428407669
1987-06-15,-0.1433383971452713
1987-07-15,-0.14783205091953278
1987-08-15,-0.11166807264089584
1987-09-15,-0.025616871193051338
1987-10-15,-0.008376754820346832
1987-11-15,-0.040201764553785324
1987-12-15,-0.015274814330041409
1988-01-15,0.017276203259825706
1988-02-15,0.02659638412296772
1988-03-15,-0.033925626426935196
1988-04-15,-0.04284099116921425
1988-05-15,-0.09185892343521118
1988-06-15,-0.15817905962467194
1988-07-15,-0.18509352207183838
1988-08-15,-0.17660383880138397
1988-09-15,-0.29065725207328796
1988-10-15,-0.27832159399986267
1988-11-15,-0.20920123159885406
1988-12-15,-0.23872627317905426
1989-01-15,-0.17439976334571838
1989-02-15,-0.24989789724349976
1989-03-15,-0.1988234519958496
1989-04-15,-0.14732159674167633
1989-05-15,-0.22342871129512787
1989-06-15,-0.2272535264492035
1989-07-15,-0.22408683598041534
1989-08-15,-0.1455281525850296
1989-09-15,-0.1148996353149414
1989-10-15,-0.09531961381435394
1989-11-15,0.039429932832717896
1989-12-15,-0.1467265784740448
1990-01-15,-0.2011599987745285
1990-02-15,-0.05658487603068352
1990-03-15,-0.10013657063245773
1990-04-15,-0.06336692720651627
1990-05-15,0.11452124267816544
1990-06-15,-0.01352466456592083
1990-07-15,-0.01177324540913105
1990-08-15,-0.033055324107408524
1990-09-15,-0.12654124200344086
1990-10-15,0.05359329283237457
1990-11-15,0.0251032505184412
1990-12-15,0.044333189725875854
1991-01-15,0.07013356685638428
1991-02-15,-0.014524069614708424
1991-03-15,-0.030817294493317604
1991-04-15,0.007758766878396273
1991-05-15,-0.04888404160737991
1991-06-15,-0.026099665090441704
1991-07-15,-0.1306353658437729
1991-08-15,-0.17931239306926727
1991-09-15,-0.19734077155590057
1991-10-15,-0.2634632885456085
1991-11-15,-0.20872639119625092
1991-12-15,-0.21132411062717438
1992-01-15,-0.19428108632564545
1992-02-15,-0.107814721763134
1992-03-15,-0.16126571595668793
1992-04-15,-0.1483943611383438
1992-05-15,-0.10824389010667801
1992-06-15,-0.09349614381790161
1992-07-15,-0.2397741675376892
1992-08-15,-0.32155147194862366
1992-09-15,-0.3329283595085144
1992-10-15,-0.36682823300361633
1992-11-15,-0.29013603925704956
1992-12-15,-0.28454652428627014
1993-01-15,-0.17799457907676697
1993-02-15,-0.23421591520309448
1993-03-15,-0.13170403242111206
1993-04-15,-0.18694613873958588
1993-05-15,-0.13294526934623718
1993-06-15,-0.197856605052948
1993-07-15,-0.1736881136894226
1993-08-15,-0.23647776246070862
1993-09-15,-0.24780863523483276
1993-10-15,-0.2656715512275696
1993-11-15,-0.20562522113323212
1993-12-15,-0.2535255253314972
1994-01-15,-0.18156518042087555
1994-02-15,-0.25884589552879333
1994-03-15,-0.21297374367713928
1994-04-15,-0.19669848680496216
1994-05-15,-0.18465761840343475
1994-06-15,-0.26090314984321594
1994-07-15,-0.21938103437423706
1994-08-15,-0.2315957397222519
1994-09-15,-0.16077668964862823
1994-10-15,-0.06762699037790298
1994-11-15,-0.12947364151477814
1994-12-15,-0.10633442550897598
1995-01-15,-0.1017543151974678
1995-02-15,-0.014573956839740276
1995-03-15,-0.06939690560102463
1995-04-15,-0.08421698212623596
1995-05-15,-0.12189018726348877
1995-06-15,-0.10497591644525528
1995-07-15,-0.14721500873565674
1995-08-15,-0.1624363660812378
1995-09-15,-0.18936465680599213
1995-10-15,-0.1238134577870369
1995-11-15,-0.10070499032735825
1995-12-15,-0.11829005181789398
1996-01-15,-0.16206613183021545
1996-02-15,-0.1801733672618866
1996-03-15,-0.26292088627815247
1996-04-15,-0.3148110508918762
1996-05-15,-0.08657895773649216
1996-06-15,-0.13509969413280487
1996-07-15,-0.18813984096050262
1996-08-15,-0.16391150653362274
1996-09-15,-0.19084922969341278
1996-10-15,-0.20198407769203186
1996-11-15,-0.19129778444766998
1996-12-15,-0.1473962813615799
1997-01-15,-0.18559305369853973
1997-02-15,-0.1748848259449005
1997-03-15,-0.15171955525875092
1997-04-15,-0.05887889862060547
1997-05-15,-0.1025557816028595
1997-06-15,-0.06330665946006775
1997-07-15,-0.04000885412096977
1997-08-15,0.02626877836883068
1997-09-15,0.0375150591135025
1997-10-15,0.0965661033987999
1997-11-15,0.06843031942844391
1997-12-15,0.1942085325717926
1998-01-15,0.173396497964859
1998-02-15,0.1352628916501999
1998-03-15,0.09735534340143204
1998-04-15,0.11434194445610046
1998-05-15,0.05336863920092583
1998-06-15,0.09515555948019028
